names,postgis_functions
dokładnie,
przybliżona,
prawdopodobna,
obok,
obok prawdopodobna,
dookoła,
dookoła prawdopodobnie,
między,
między prawdopodobnie,
wśród,
wśród prawdopodobnie,
wzdłuż,
wzdłuż prawdopodobnie,
w poprzek,
w poprzek prawdopodobnie,
nad,
nad prawdopodobnie,
pod,
pod prawdopodobnie,
za,
za prawdopodobnie,
przed,
przed prawdopodobnie,
na lewo od,
na prawo od,
na północ od,
na południe od,
na wschód od,
na zachód od,
na północny wschód od,
na północny zachód od,
na południowy wschód od,
na południowy zachód od,
