ancestor_identifiers,predecessor_identifiers,historical_sources
1,1,#Garbacz_2021
4,7,#KZSP_SW
7,8,#KZSP_SW
8,9,#KZSP_SW
5,10,#KZSP_SW
17,18,#Kunkel_2006
39,38,#Marcinkowski_2013_a
18,47,#Kunkel_2006
49,56,#GmachDawnejPanoramy
56,57,#GmachDawnejPanoramy
57,58,#GmachDawnejPanoramy
58,59,#GmachDawnejPanoramy
60,61,#WarsztatySamochodoweDynasy
61,62,#WarsztatySamochodoweDynasy
62,63,
68,69,#Sosna_KatSobor
69,70,#Sosna_KatSobor
73,72,#Szwarc_2016
74,72,#Szwarc_2016
72,71,#Schiller-Walicka_2016
96,93,
121,122,
123,124,
