topographic_object_identifiers,starts_at,ends_at,functions,historical_evidence
1.0,1379.0,1560.0,funkcja obronna,1000.0
10.0,1780.0,1823.0,funkcja hotelowa,3.0
10.0,1780.0,1823.0,funkcja bycia miejscem wymiany handlowej,3.0
10.0,1814.0,1816.0,funkcja edukacyjna,3.0
10.0,1860.0,1864.0,funkcja edukacyjna,3.0
29.0,1900.0,1950.0,funkcja gospodarcza,9.0
30.0,1899.0,1944.0,funkcja bycia miejscem wymiany handlowej,10.0
31.0,1849.0,2000.0,funkcja sakralna,11.0
32.0,1875.0,2000.0,funkcja mieszkalna,12.0
33.0,1841.0,1944.0,funkcja mieszkalna,14.0
34.0,1908.0,1942.0,funkcja bycia miejscem wymiany handlowej,16.0
35.0,1805.0,1944.0,funkcja gospodarcza,19.0
36.0,1893.0,2000.0,funkcja sakralna,24.0
37.0,1886.0,1944.0,funkcja sakralna,27.0
38.0,1877.0,1944.0,funkcja gospodarcza,25.0
39.0,1823.0,1877.0,funkcja rozrywkowa,25.0
40.0,1841.0,1939.0,funkcja bycia miejscem wymiany handlowej,17.0
41.0,1902.0,2000.0,funkcja bycia miejscem wymiany handlowej,18.0
42.0,1911.0,1954.0,funkcja administracyjna,20.0
42.0,1911.0,1954.0,funkcja bycia miejscem zamieszkania,20.0
43.0,1894.0,1944.0,funkcja bycia miejscem zamieszkania,21.0
44.0,1902.0,1915.0,funkcja gastronomiczna,22.0
51.0,1911.0,2000.0,funkcja gospodarcza,30.0
51.0,1911.0,1945.0,funkcja dobroczynna,30.0
52.0,1912.0,1944.0,funkcja administracyjna,30.0
53.0,1870.0,1936.0,funkcja gospodarcza,31.0
54.0,1883.0,2000.0,funkcja administracyjna,32.0
55.0,1818.0,1942.0,funkcja kontrolna,33.0
49.0,1902.0,1907.0,funkcja rozrywkowa,35.0
114.0,1880.0,1915.0,funkcja komunikacyjna,43.0
115.0,1824.0,1900.0,funkcja obronna,15.0
115.0,1900.0,1945.0,funkcja bycia miejscem wymiany handlowej,15.0
116.0,1906.0,1950.0,funkcja bycia miejscem wymiany handlowej,13.0
116.0,1906.0,1950.0,funkcja administracyjna,13.0
117.0,1916.0,2000.0,funkcja bycia miejscem wymiany handlowej,47.0
118.0,1870.0,1944.0,funkcja produkcyjna,49.0
119.0,1784.0,1944.0,funkcja bycia miejscem zamieszkania,51.0
120.0,1818.0,1942.0,funkcja kontrolna,53.0
121.0,1683.0,1775.0,funkcja rozrywkowa,1000.0
122.0,1775.0,1795.0,funkcja bycia miejscem spotkań,1000.0
125.0,1854.0,1935.0,funkcja obronna,54.0
126.0,1834.0,1945.0,funkcja obronna,1000.0
129.0,1695.0,1825.0,funkcja bycia miejscem wymiany handlowej,1000.0
129.0,1695.0,1745.0,funkcja mieszkalna,1000.0
129.0,1745.0,1819.0,funkcja sakralna,1000.0
129.0,1738.0,1742.0,funkcja kulturalna,1000.0
133.0,1785.0,1808.0,funkcja mieszkalna,1000.0
133.0,1785.0,1808.0,funkcja bycia miejscem wymiany handlowej,1000.0
148.0,1936.0,1943.0,funkcja kulturalna,1000.0
