identifiers,iris,names
1,http://purl.org/ontohgis#function6,funkcja administracyjna
2,http://purl.org/urbanonto/function16,funkcja budowlana
3,http://purl.org/urbanonto/function33,funkcja bycia elementem ?rodowiska przyrodniczego
4,http://purl.org/urbanonto/function24,funkcja bycia miejscem spotka?
5,http://purl.org/ontohgis#object_402,funkcja bycia miejscem wymiany handlowej
6,http://purl.org/ontohgis#object_400,funkcja bycia miejscem zamieszkania
7,http://purl.org/ontohgis#object_403,funkcja bycia siedzib? urz?du
8,http://purl.org/urbanonto/function19,funkcja dobroczynna
9,http://purl.org/urbanonto/function28,funkcja dokumentuj?ca
10,http://purl.org/urbanonto/function15,funkcja edukacyjna
11,http://purl.org/urbanonto/function23,funkcja estetyczna
12,http://purl.org/ontohgis#function13,funkcja gastronomiczna
13,http://purl.org/ontohgis#function8,funkcja gospodarcza
14,http://purl.org/ontohgis#function4,funkcja gospodarcza - gospodarka le?na
15,http://purl.org/ontohgis#function14,funkcja hotelowa
16,http://purl.org/urbanonto/function29,funkcja informacyjna
17,http://purl.org/urbanonto/function30,funkcja izolacyjna
18,http://purl.org/ontohgis#function9,funkcja komunikacyjna
19,http://purl.org/urbanonto/function34,funkcja kontrolna
20,http://purl.org/urbanonto/function21,funkcja kulturalna
21,http://purl.org/urbanonto/function22,funkcja magazynowa
22,http://purl.org/ontohgis#function3,funkcja mieszkalna
23,http://purl.org/ontohgis#function5,funkcja obronna
24,http://purl.org/ontohgis#function10,funkcja obs?ugi kuracjuszy
25,http://purl.org/urbanonto/function31,funkcja ochronna
26,http://purl.org/urbanonto/function27,funkcja ochrony przyrody
27,http://purl.org/urbanonto/function26,funkcja ochrony zdrowia
28,http://purl.org/ontohgis#object_401,funkcja odgraniczenia przestrzeni wewn?trznej od przestrzeni zewn?trznej
29,http://purl.org/urbanonto/function18,funkcja opieku?cza
30,http://purl.org/urbanonto/function32,funkcja polityczna
31,http://purl.org/ontohgis#object_404,funkcja produkcyjna
32,http://purl.org/ontohgis#function2,funkcja przemys?owa
33,http://purl.org/urbanonto/function25,funkcja reprezentacyjna
34,http://purl.org/ontohgis#function1,funkcja rolnicza
35,http://purl.org/urbanonto/function20,funkcja rozrywkowa
36,http://purl.org/ontohgis#function12,funkcja sakralna
37,http://purl.org/ontohgis#object_405,funkcja transportowa
38,http://purl.org/urbanonto/function17,funkcja wychowawcza
39,http://purl.org/ontohgis#function7,funkcja wypoczynkowa
40,http://purl.org/ontohgis#function11,funkcja zapewnienia odpoczynku i noclegu dla turystów
41,http://purl.org/ontohgis#object_406,funkcja zarz?dzania terytorium pa?stwa i jego obywatelami
